,순위,부제목,제목,상세보기링크,이벤트 정보,가격,추가정보,저자,출판사,출판연도
16,17,소윤 에세이,작은 별이지만 빛나고 있어(10만 부 기념 한정판 에디션),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791197037153,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서13,500원[10%↓ +5% 적립]|eBook10,500원","지금 주문하면내일(22일,금)도착 예정입니다",소윤,북로망스,2021년09월29일
17,18,,인간 실격(세계문학전집 103),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788937461033,"['이벤트', 'MD의 선택', '소득공제']","도서7,200원[10%↓ +5% 적립]|eBook5,600원","지금 주문하면내일(22일,금)도착 예정입니다",다이오사무,민음사,2012년04월10일
18,19,히가시노 게이고 장편소설,백조와 박쥐,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791190885928,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서16,200원[10%↓ +5% 적립]|eBook12,600원","지금 주문하면내일(22일,금)도착 예정입니다",히가시노게이고,현대문학,2021년08월16일
19,20,입지의 신 빠숑과 임장의 신 블루999의 투자비법,당신만 몰랐던 부동산 투자(반양장),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791168210028,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서16,020원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",김학렬(빠숑)김우람(블루999),베가북스,2021년10월20일
20,21,정유정 장편소설,완전한 행복,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791167370280,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서14,220원[10%↓ +5% 적립]|eBook11,060원","지금 주문하면내일(22일,금)도착 예정입니다",정유정,은행나무,2021년06월08일
21,22,동학개미의 스승 박세익 전무가 말하는 현명한 투자 행복한 투자,투자의 본질,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791189352424,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서16,200원[10%↓ +5% 적립]|eBook13,000원","지금 주문하면내일(22일,금)도착 예정입니다",박세익,위너스북,2021년08월20일
22,23,상처받은 내면의 ‘나’와 마주하는 용기,오은영의 화해,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788997396870,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서14,400원[10%↓ +5% 적립]|eBook9,600원","지금 주문하면내일(22일,금)도착 예정입니다",오은영,코리아닷컴,2019년01월10일
23,24,최상위 부자가 말하는 돈에 대한 모든 것,돈의 속성(150쇄 기념 에디션),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791188331796,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서15,120원[10%↓ +5% 적립]|eBook11,760원","지금 주문하면내일(22일,금)도착 예정입니다",김승호,스노우폭스북스,2020년06월15일
24,25,"포스트 코로나 시대, 우리 앞에 다가온 역사의 변곡점",거대한 가속,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788901252537,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서15,300원[10%↓ +5% 적립]|eBook10,800원","지금 주문하면내일(22일,금)도착 예정입니다",스콧갤러웨이,리스북,2021년10월05일
25,26,김초엽 장편소설,지구 끝의 온실,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191824001,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서13,500원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",김초엽,이언트북스,2021년08월18일
26,27,능력주의는 모두에게 같은 기회를 제공하는가,공정하다는 착각(30만 부 기념 리커버 에디션)(리커버:K),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791164136452,"['무료배송', '이벤트', '오늘의책', '한정판매', '소득공제']","도서16,200원[10%↓ +5% 적립]|eBook12,600원","지금 주문하면내일(22일,금)도착 예정입니다",마이클샌델,와이즈베리,2020년12월01일
27,28,지적 대화를 위한 넓고 얕은 지식,채사장의 지대넓얕. 1: 권력의 탄생(생각을 넓혀 주는 어린이 교양 도서 1),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791197578410,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서12,600원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",채사장마케마케,돌핀북,2021년09월17일
