,순위,부제목,제목,상세보기링크,이벤트 정보,가격,추가정보,저자,출판사,출판연도
66,67,탈출 미션 스토리북,흔한남매 별난 방탈출. 3(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791164138715,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서11,520원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",흔한남매(원작)김언정,미래엔아이세움,2021년08월25일
67,68,부와 자유를 꿈꾸는 직장인을 위한 주식투자의 정석,하면 된다! 퀀트 투자(파이어족 강환국의),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791188754489,"['무료배송', '이벤트', 'sam', '소득공제']","도서16,830원[10%↓ +5% 적립]|eBook11,700원","지금 주문하면내일(22일,금)도착 예정입니다",강환국,에프엔미디어,2021년09월15일
68,69,1등 펀드매니저처럼 생각하고 투자하는 법,시대의 1등주를 찾아라,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791190977371,"['무료배송', '이벤트', 'MD의 선택', 'sam', '소득공제']","도서14,400원[10%↓ +5% 적립]|eBook11,000원","지금 주문하면내일(22일,금)도착 예정입니다",이한영,페이지2북스,2021년09월03일
69,70,최은영 첫 장편소설,밝은 밤,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788954681179,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서13,050원[10%↓ +5% 적립]|eBook10,200원","지금 주문하면내일(22일,금)도착 예정입니다",최은영,문학동네,2021년07월27일
70,71,,숲속 100층짜리 집,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788966351411,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서11,700원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",이와이도시오,북뱅크,2021년08월25일
71,72,,소문,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191043419,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서14,850원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",오와라히로시,모모,2021년09월26일
72,73,,데일 카네기 인간관계론,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791187142560,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서10,350원[10%↓ +5% 적립]|eBook5,500원","지금 주문하면내일(22일,금)도착 예정입니다",데일카네,현대지성,2019년10월07일
73,74,,나의 첫 주식 교과서(강방천&존리와 함께하는),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791190977326,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서14,850원[10%↓ +5% 적립]|eBook11,500원","지금 주문하면내일(22일,금)도착 예정입니다",강방천존리,페이지2북스,2021년07월21일
74,75,뇌과학과 인지심리학으로 풀어낸 마음의 재해석,생각한다는 착각,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791190313995,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서14,400원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",닉채터,웨일북(whalebooks),2021년09월30일
75,76,나태주 시집,꽃을 보듯 너를 본다(J.H CLASSIC 2)(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791157280292,"['이벤트', '소득공제']","도서9,000원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",나태주,지혜,2020년11월30일
76,77,,정재승의 인간탐구보고서. 7: 인간은 타고난 거짓말쟁이다(어린이를 위한 뇌과학 프로젝트),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788950983130,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서12,600원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",정재은이고은정재승(획),아울북,2021년09월08일
77,78,,바른연애 길잡이 외전,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791167790118,['소득공제'],"도서8,100원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",남수,영컴,2021년10월06일
78,79,,타이탄의 도구들(리커버 에디션),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791158510619,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서13,500원[10%↓ +5% 적립]|eBook10,500원","지금 주문하면내일(22일,금)도착 예정입니다",팀페리스,토네이도,2020년03월09일
79,80,,빅 컨버세이션: 대담한 대담,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791165795399,"['무료배송', 'MD의 선택', '소득공제']","도서17,100원[10%↓ +5% 적립]|eBook13,000원","지금 주문하면내일(22일,금)도착 예정입니다",황창규,시공사,2021년04월26일
80,81,"라틴어 수업, 두 번째 시간",믿는 인간에 대하여,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788965964674,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서14,400원[10%↓ +5% 적립]|eBook12,800원","지금 주문하면내일(22일,금)도착 예정입니다",한동일,흐름출판,2021년09월30일
81,82,,읽으면서 바로 써먹는 어린이 신체 관용구(맛있는공부 43),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791158681999,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서10,800원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",한날,파란정원,2021년08월25일
82,83,자연 생물 관찰 만화,에그박사. 4(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791164138425,"['무료배송', 'MD의 선택', '소득공제']","도서12,150원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",에그박사(원작)박송이,미래엔아이세움,2021년08월05일
83,84,원자폭탄에서 비트코인까지 세상을 바꾼 절대 공식,공식의 아름다움(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791158741297,"['무료배송', '이벤트', 'MD의 선택', 'sam', '소득공제']","도서22,320원[10%↓ +5% 적립]|eBook17,360원","지금 주문하면내일(22일,금)도착 예정입니다",양학파,미디어숲,2021년11월10일
84,85,,나는 나답게 살기로 했다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191043150,"['무료배송', 'MD의 선택', 'sam', '소득공제']","도서12,150원[10%↓ +5% 적립]|eBook9,450원","지금 주문하면내일(22일,금)도착 예정입니다",손힘찬,스튜디오오드리,2021년02월08일
85,86,돈의 흐름을 읽는 눈,돈의 역사는 되풀이된다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191393163,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서14,400원[10%↓ +5% 적립]|eBook11,200원","지금 주문하면내일(22일,금)도착 예정입니다",홍춘욱,포르체,2021년06월16일
86,87,믿거나 말거나 나에게 어울리는 직업,흔한남매 흔한 MBTI(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791136273796,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서11,700원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",흔한남매(원작)김승정미화,대원키즈,2021년09월01일
87,88,,외계인 인터뷰,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788996671022,"['무료배송', '이벤트', '소득공제']","도서16,200원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",로렌스R.스펜서(편),아이커넥,2013년10월31일
88,89,내 안의 잠재력을 200% 끌어올리는 마인드셋,마지막 몰입: 나를 넘어서는 힘,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791162541968,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서15,120원[10%↓ +5% 적립]|eBook11,760원","지금 주문하면내일(22일,금)도착 예정입니다",짐퀵,비즈니스북스,2021년02월23일
89,90,"실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",모든 것은 기본에서 시작한다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791190382502,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서14,400원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",손웅정,수오서재,2021년10월15일
90,91,"인공지능 시대,돈은 어떤 모습으로 다가오는가",미래의 부(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191360196,"['무료배송', '이벤트', 'MD의 선택', 'sam', '소득공제']","도서15,300원[10%↓ +5% 적립]|eBook11,900원","지금 주문하면내일(22일,금)도착 예정입니다",이지성,차이정원,2021년07월26일
91,92,공부의 기초체력을 키워주는 힘,EBS 당신의 문해력(EBS 부모교육),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788954759335,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서15,300원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",김윤정,EBSBOOKS,2021년08월20일
92,93,제21회 문학동네어린이문학상 대상,긴긴밤(보름달문고 83),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788954677158,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서10,350원[10%↓ +5% 적립]|eBook8,100원","지금 주문하면내일(22일,금)도착 예정입니다",루리,문학동네어린이,2021년02월03일
93,94,유해한 것들 속에서 나를 가꾸는 셀프가드닝 프로젝트,나라는 식물을 키워보기로 했다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788968333255,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서13,500원[10%↓ +5% 적립]|eBook10,500원","지금 주문하면내일(22일,금)도착 예정입니다",김은주,허밍버드,2021년07월23일
94,95,25년간 세계 최고의 인재들과 일하며 배운 것들,생각이 너무 많은 서른 살에게,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791190538329,"['무료배송', '이벤트', 'MD의 선택', 'sam', '소득공제']","도서14,400원[10%↓ +5% 적립]|eBook11,000원","지금 주문하면내일(22일,금)도착 예정입니다",김은주,메이븐,2021년06월10일
95,96,양귀자 장편소설,모순(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788998441012,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서11,700원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",양귀,쓰다,2013년04월01일
96,97,돈을 통제하라 그리고 원하는 삶을 살아라,더 보스(The Boss),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791197080821,"['무료배송', '소득공제']","도서13,950원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",안규호,떠오름,2021년05월17일
97,98,주식투자에서 상식으로 성공하는 법,월가의 영웅(전설로 떠나는)(3판)(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788957825945,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서23,400원[10%↓ +5% 적립]|eBook18,200원","지금 주문하면내일(22일,금)도착 예정입니다",피터린치존로스차일드,국일증권경제연구소,2021년07월30일
98,99,감정 기복이 심한 당신에게 필요한 기분 수업,기분이 태도가 되지 않으려면,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791197080845,"['무료배송', 'MD의 선택', '소득공제']","도서12,150원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",나겨울,떠오름,2021년08월30일
99,100,50일 영어낭독으로 원어민 되기,EEA: English for Everyday Activities(한글판)(개정판 3판),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791162371732,"['무료배송', '이벤트', 'sam', '소득공제']","도서12,600원[10%↓ +5% 적립]|eBook12,000원","지금 주문하면내일(22일,금)도착 예정입니다",LawrenceJ.Zwier,웅진컴퍼스,2020년12월17일
100,101,불확실성을 기회로 만드는 4가지 투자전략,부의 시나리오,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791190977265,"['무료배송', '오늘의책', 'sam', '소득공제']","도서16,200원[10%↓ +5% 적립]|eBook13,000원","지금 주문하면내일(22일,금)도착 예정입니다",오건영,페이지2북스,2021년06월07일
101,102,처음 만나는 세상의 규칙,나는 약속을 지켜요,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791197419102,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서13,500원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",다카하마마사노부,피카주니어(FIKAJUNIOR),2021년08월18일
102,103,오르세 미술관,방구석 미술관,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788968331862,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서15,120원[10%↓ +5% 적립]|eBook11,000원","지금 주문하면내일(22일,금)도착 예정입니다",조원재,블랙피쉬,2018년08월03일
103,104,내 삶을 바꾸는 오늘의 철학 연구소,필로소피 랩,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791155814116,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서15,120원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",조니톰슨,윌북,2021년10월20일
104,105,세계 역사 문화 체험 학습만화,Go Go 카카오프렌즈. 21: 캐나다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788950996604,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서10,800원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",김미영,아울북,2021년08월25일
105,106,이꽃님 장편소설,세계를 건너 너에게 갈게(10만부 기념 특별판),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788954650212,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서10,350원[10%↓ +5% 적립]|eBook8,100원","지금 주문하면내일(22일,금)도착 예정입니다",이꽃님,문학동네,2021년09월24일
106,107,림태주 에세이,너의 말이 좋아서 밑줄을 그었다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788901253060,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서13,500원[10%↓ +5% 적립]|eBook9,450원",지금 주문하면10월 23일 출고 예정입니다,림태주,웅진지식하우스,2021년10월15일
107,108,비일상 미스터리 그래픽 노블,SCP 재단: 확보하고 격리하고 보호하라,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191156256,"['무료배송', '이벤트', '소득공제']","도서10,800원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",올드스테어즈편집부,Oldstairs(올드스테어즈),2021년07월25일
108,109,지금 당신이 가장 뜨겁게 물어야 할 첫 번째 질문,왜 일하는가(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791130637037,"['무료배송', '이벤트', 'MD의 선택', 'sam', '소득공제']","도서14,400원[10%↓ +5% 적립]|eBook11,200원","지금 주문하면내일(22일,금)도착 예정입니다",이나모리가즈오,다산북스,2021년04월12일
109,110,김소영 에세이,어린이라는 세계,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791160946918,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서13,500원[10%↓ +5% 적립]|eBook10,500원",지금 주문하면10월 22일 출고 예정입니다,김소영,사계절,2020년11월16일
110,111,오늘의 선택이 미래의 부를 결정한다,부의 시그널,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791190242899,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서16,920원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",박종훈,베가북스,2021년09월27일
111,112,,원피스. 99: 밀짚모자 루피,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791136280152,"['무료배송', '이벤트', '소득공제']","도서4,500원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",EiichiroOda,대원씨아이,2021년08월13일
112,113,,수상한 방송실(북멘토 가치동화 44),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788963194332,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서10,350원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",박현숙,북멘토,2021년09월30일
113,114,복잡한 세상을 푸는 단순하고 강력한 도구,미적분의 힘,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791164051335,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서18,000원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",스티븐스트로가츠,해나무,2021년09월24일
114,115,,잘했고 잘하고 있고 잘 될 것이다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791162143605,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서13,500원[10%↓ +5% 적립]|eBook10,500원","지금 주문하면내일(22일,금)도착 예정입니다",정영욱,부크럼,2021년05월14일
115,116,김초엽 소설,우리가 빛의 속도로 갈 수 없다면(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791190090018,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서12,600원[10%↓ +5% 적립]|eBook8,400원","지금 주문하면내일(22일,금)도착 예정입니다",김초엽,허블,2019년06월24일
116,117,양희은 에세이,그러라 그래(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788934984979,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서13,050원[10%↓ +5% 적립]|eBook10,000원","지금 주문하면내일(22일,금)도착 예정입니다",양희은,김영사,2021년04월12일
117,118,초등 국어 고수 되기 프로젝트,흔한남매 불꽃 튀는 우리말. 3,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791130640280,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서11,700원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",흔한남매(원작)한은호,다산어린이,2021년08월26일
118,119,유인원에서 사이보그까지 인간 역사의 대담하고 위대한 질문,사피엔스,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788934972464,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서19,800원[10%↓ +5% 적립]|eBook14,400원","지금 주문하면내일(22일,금)도착 예정입니다",유발하라리,김영사,2015년11월24일
119,120,어린이를 위한 경제 교육 동화,세금 내는 아이들,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788947547260,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서12,600원[10%↓ +5% 적립]|eBook11,200원","지금 주문하면내일(22일,금)도착 예정입니다",옥효진,한국경제신문,2021년06월15일
120,121,본격 가족 명랑 시트콤 만화,말이야와 친구들. 3(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788934911036,"['무료배송', '이벤트', '소득공제']","도서11,250원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",말이야와친구들(원작)김정욱,주니어김영사,2021년09월30일
121,122,그게 뭔 말이야! 한심해,급식왕 GO. 4(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788950992187,"['무료배송', '이벤트', '소득공제']","도서10,800원[10%↓ +5% 적립]|eBook9,600원","지금 주문하면내일(22일,금)도착 예정입니다",급식왕(원작)최재연,아울북,2021년09월08일
122,123,,코스모스(보급판),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788983711892,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서16,650원[10%↓ +5% 적립]|eBook14,800원","지금 주문하면내일(22일,금)도착 예정입니다",칼세이건,사이언스북스,2010년01월20일
123,124,무기 병균 금속은 인류의 운명을 어떻게 바꿨는가,총 균 쇠,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788970127248,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서25,200원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",재레드다이아몬드,문학사상,2005년12월19일
124,125,,데일 카네기 자기관리론(1948년 초판 완역본),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191280333,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서10,350원[10%↓ +5% 적립]|eBook5,500원","지금 주문하면내일(22일,금)도착 예정입니다",데일카네,현대지성,2021년01월13일
125,126,황정은 에세이,일기,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788936438586,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서12,600원[10%↓ +5% 적립]|eBook9,800원","지금 주문하면내일(22일,금)도착 예정입니다",황정은,창비,2021년10월18일
126,127,설득할 필요도 없고 설득할 수도 없다,불편한 사람과 뻔뻔하게 대화하는 법,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791188469833,"['무료배송', 'sam', '소득공제']","도서13,500원[10%↓ +5% 적립]|eBook10,500원","지금 주문하면내일(22일,금)도착 예정입니다",진마티넷,필름(Feelm),2021년09월15일
127,128,자식에게 기대던 시대에서 셀프부양의 시대로,오십부터는 노후 걱정 없이 살아야 한다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191347418,"['무료배송', '이벤트', 'MD의 선택', 'sam', '소득공제']","도서14,400원[10%↓ +5% 적립]|eBook11,000원","지금 주문하면내일(22일,금)도착 예정입니다",강창희고재량,포레스트북스,2021년09월13일
128,129,"금리, 차트, 재무제표 등 어려운 숫자는 NO!",소수몽키의 한 권으로 끝내는 미국주식,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791165214975,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서18,000원[10%↓ +5% 적립]|eBook14,000원","지금 주문하면내일(22일,금)도착 예정입니다",소수몽키(홍승초),길벗,2021년03월24일
129,130,,아메리카노 엑소더스. 11,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791189544225,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서10,620원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",박지은,소란북스,2021년10월01일
130,131,,이기적 유전자(40주년 기념판),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788932473901,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서18,000원[10%↓ +5% 적립]|eBook14,000원","지금 주문하면내일(22일,금)도착 예정입니다",리처드도킨스,을유문화사,2018년10월20일
131,132,,"오케팅: 누구나 5% 부자가 되는 전략, 디지털 노마드를 위한 퍼스널브랜딩 마케팅 책",http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791197220586,"['무료배송', '소득공제']","도서11,700원[10%↓ +5% 적립]|eBook9,900원","지금 주문하면내일(22일,금)도착 예정입니다",오두환,대한출판사,2021년07월01일
132,133,현실과 메타버스를 넘나드는 새로운 경제 생태계의 탄생,NFT 레볼루션,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791165216603,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서16,200원[10%↓ +5% 적립]|eBook12,600원","지금 주문하면내일(22일,금)도착 예정입니다",성소라롤프회퍼스콧맥러플린,퀘스트,2021년09월01일
133,134,,포켓몬스터 가라르 도감,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791136272690,"['무료배송', '소득공제']","도서10,800원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",대원키즈편집부,대원키즈,2021년05월20일
134,135,세상을 움직이는 권력과 힘에 관한 최고의 안내서,권력의 원리,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791135469039,"['무료배송', 'MD의 선택', '소득공제']","도서16,920원[10%↓ +5% 적립]|eBook13,000원","지금 주문하면내일(22일,금)도착 예정입니다",줄리바틸라나티치아나카시아로,로크미디어,2021년10월13일
135,136,벤저민 그레이엄 직접 쓴 마지막 개정판,현명한 투자자(개정판 4판),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788957821305,"['무료배송', 'MD의 선택', '소득공제']","도서20,700원[10%↓ +5% 적립]|eBook16,100원","지금 주문하면내일(22일,금)도착 예정입니다",벤민그레이엄,국일증권경제연구소,2020년05월26일
136,137,스포츠 영양사 우수의 영양학 기초 트레이닝,피톨로지 피트니스 영양학,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788970016214,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서13,500원[10%↓ +5% 적립]|eBook11,000원","지금 주문하면내일(22일,금)도착 예정입니다",이호욱정람,예문당,2021년09월23일
137,138,"토익 리딩의 기본서, 문법/독해/어휘에서 실전까지",해커스 토익 RC 리딩(Reading)(개정판 8판),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788965423348,"['무료배송', '이벤트', '소득공제']","도서16,920원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",DavidCho,해커스어학연구소,2021년07월12일
138,139,제9회 문학동네청소년문학상 대상 수상작,체리새우: 비밀글입니다(문학동네청소년 42),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788954654753,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서10,350원[10%↓ +5% 적립]|eBook8,100원","지금 주문하면내일(22일,금)도착 예정입니다",황영미,문학동네,2019년01월28일
